comments,likes
The harverd and Stanford graduates are saying you don't need a degree 😂,3
Is it still relevant today???,1
"Hi Luke, Do you need to be a programmer or have some sort  programming skills to do this course? I know Excel but that's it",0
@10 hours per day 🤣🤣🤣🤣,1
Google CEO now YouTube CEO is Indian Indians are just ruling over IT companies,1
Does it work for international students? Including the job opportunity.,0
Great video! I finished this certificate and ended up getting a job as an analyst. I can't recommend this certificate enough!,3
Cost?,0
"thats why for my masters I chose to do pure computer science with modules in machine learning and other areas than to do a masers restricted only to data science.  It would hv been a nasty disaster. Besides I still think the future of machine learning , data science will be fully automated. Its game over for you, back to plumbing and sowing and farming which cant be easily auomtated.",0
Thank you so much for this explian you make decision easier i have two question i hope to reply me are people who are live outside us and eroupe have a good oppurtunity to get remote jobs in usa and eroupe if them have a great value and is google certificate is enough to make anybody that doesn't has a degree understand the techneical and un techneical sides of data analysis or that's enough for the brginning level and companies understand that and thank you so much,0
Will AI kill it?,1
I think im gonna speed run this course asap! Lmao,0
"I am doing this course and just finished visualisation of daya and going to R programming, my dear is how to apply for a job when I am not yet sure I can put what I learnt to the job",0
"I want to pursue business analyst, which certification course you would suggest me? Please respond",0
On day 3 of my Google certification wish me luck 🙏🏽🙏🏽,0
"I have the same professional certification alongside a bachelor's Degree, but it is not helping me to get any job in India. Can you help me with that?",0
Hey luke can someone can do this course especially don't having Cs background???,0
"if you are not understanding the concepts that are being taught, is there support that you can reach out to?",0
"Hello brother! 
I competed my post graduation in advanced mathematics... Should I join this course... Honestly I don't hve good knowledge of programming...",0
Do you think if we don't have any data analytics experience but go to school to get master of this major will make a difference when we are looking for jobs ? Or certificate will be the same income offer too ??,0
"Hi Luke
I have just finished my first semester of Bachelor’s in information technology 
Should I start these sort of certifications or wait for my bachelor’s completion?",0
I am a partime date analyst... Hoep I will find   new job for data analyst,0
Can we join Google after 12th sci,0
Informative message...,0
Is this course free?,0
Iam b tech 1 st year how to get internship with Google now it is possible or not?,0
"I only have diploma networking certificate. I not really like networking. I have different choice either data analysis, programmer, ui/ux designer.
I still confuse, I don’t want make any mistakes hm. Tbh I prefer wfh 🥲",0
"I finished the course in July, and after a 4-month job search, I have found that adding this Google certificate in Data Analytics is only helpful if you already have a bachelor’s degree in a related field, such as engineering, math, accounting, project management, IT, or business.  Even then, you still need some sort of connection with the company you’re applying for, an internship, or some experience.  
I have a masters degree in education and foreign languages, and I had connections with a large consulting company, but I didn’t even get an interview, even with recommendations, because I simply wasn’t qualified for a Data Analysis job. 
This course was a GREAT starter for anyone who has zero knowledge of data analysis and the programs used (SQL, Tableau, R) but it will take a significant amount of studying and getting credentials to be eligible for a job in this field. 
I have continued teaching part-time (because ALL my eggs are in that basket) while going to college specifically for Bioinformatics.
I hope this helps others make informed decisions about this program! 😊",1
Can dropout student attend the course and placement in company,1
Thank you for insightful content. I find it very interesting to explore on this field. But I feel time constraint is my biggest enemy due to my working environment being a SAP consultant. I would like to get your advice on ways to upskill SAP. Is there any courses like Google Certificates that offer SAP program?,0
Are these courses free of cost   ?,0
"I will update this comment once I'm done with the course.

Start date: November 18/2022.",0
"So, what if you have a degree in Environmental Science BS, can you take this certificate and get a job? I chose the wrong How can I change careers?",0
It’s of no use. No company gives a damn about this course in India.,0
👍👍,0
Thank you Luke 😊🙏,0
"10 hours per WEEK, not 10 Hourse per day. 1:50",0
They promise you for a job portal after completing their course but after completing this course you'll get to know that it's only for US citizens.,1
do you need to be strong in statistics to be a good data analyst?,0
does anybody know if you’ve audited the course if you can pay for it after you’ve completed it and get the credit for the audited course?,0
I am just 12th pass out.. am I eligible to earn certificate ?,0
Are they conduct live lectures or pre recorded lectures  ?,0
Do I get job after this,0
"I'm on course-3, week-5 and I'm loving it soooo much. 

🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪

This video gave me insight & inspiration to enroll.

👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏",0
How to apply,0
So you mean to say that whatever investment i did in my MBA degree is all useless….. imagine having masters from usa and that too from a very good college and still jobless.. really 😂😂😂😂😂😂😂😂😂😂😂😂,0
You can get Coursera free if you use your library card if you live in California,0
"Thank u so much Luke bro,,,,lots of love from India",0
Currently in the google data analytics certification I’m excited to learn a new skill.,0
Kindly share videos regarding Free courses to earn.,0
How to apply anyone help me plz???,0
Is this worth for job 😊!? Please reply 😅😊,0
Can the subject Statistics can lead to data analytics?.. I just started my undergrad And I am planning to major in statistics.,1
"Hi Luke!
I've completed all the 8 courses but not received any email to access my certificate or badge. Its about two weeks after completion. Any advice?",0
"Hi sir I have choose data science learn i am entroll free but show price 3 types of price 

Please tell this course free or this course is paid

Some reason this course is paid please to show free certificate course link provide me sir 

Thank You!💕",0
Do we need to give exam to obtain the certificate ?,0
"Hi, I completed this course.  It was about 2-4 hours per day and taking your sweet time learning the details.  I am sure you can go much faster, but if you have a job it will be different.  Try to do a capstone project, just pick an easy goal.",0
"New subscriber over here, kudos for the good work Mr",1
"What is the DATA ANALIST  i don't know the subject, but  i am beginning the lessons  can i digest the lessions? Without degree qualified persons are eligible to the,
Course? this is free learning course
or payment course? give me full
details pease",0
"I am finishing my BS in Industrial Engineering. My state university offers a data analytics certification. Which is more respected or valued, a google certification or one from a university?",0
"Sir can you tell a middle age woman apply for the same with no IT Background no experience.
Your video is helpful.
Thank you.",0
can i get a degree on this kind of course?,0
"I wish to...but not now. My computer 💻 is broken .
I will save it....good luck to all 💯💪👍",0
"I am restarting my career and because of  some physical disabilities I prefer to work at home. I have no previous experience at all in data analysis (my degree is in one of the Social Sciences), would this be a good fit for me? Thanks.",0
Why does the certificate still uses R and not python? I thought python was becoming ubiquitous!!! Please correct me if I'm wrong.,0
Diploma electronic students can done this course?,0
"Hi, I'm just starting this certification course. I have a doctorate in pharmacy and have worked as a pharmacist in the hospital setting for 10+ years. My latest position as a district level supervisor has me compiling large data sets from over 14 hospitals at times, primarily using excel...lots of pivot tables lol. I'd like to learn more about data analytics in a structured environment so I'm hopeful this will help. Do you think with my combined experience in healthcare, management and then eventually entry level data analytics, that I'd be able to one day get a job as a data analyst in the healthcare industry? Are there any other skills I should learn to help...Python? Not sure what is applicable to the healthcare industry vs others. Thanks",0
Bro if this certificate print. If it's valid on interview,0
"Currently taking the course (6 of 8 modules done), with very little previous knowledge and with ambition to switch careers to data analytics/data science in the long run. The program is broken up into small chunks to be easy for you to slice into daily segments which helped me certainly. It is a very brief introduction into the necessary concepts and tools therefore offering no real depth. In the SQL-segment I felt the more complex issue was actually missing a practice segment because, let's face it, if you don't write your own queries, things will seem opaque and arbitrary. (They point you to another free online SQL course during the program so I will do that once I go into project work). The most informed thing I feel I can say about the program is: you get everything shown once, along with some basic application. It's then up to you to really find your project work for your portfolio to show your future employer.
I was working full time in my day job taking a 1 hour+ per day on the program after work on four days of the week with a six week break for an important other business project. At current pace I expect to finish the 8th and last certificate in just under 8 months (break included; so it could be 6-7 months with no interrupts). I expect to be building my portfolio (and application) for another 5 months total after (doing one business dev project of my own choosing, one real life business pro bono, one data heavy data base thing with sports results and betting odds over a decade-long period and trying to put it into video form for YouTube so it's easy to follow the process I went through if an employer wants to dig deeper). 
So knowing what I know today, I'd suggest to completely switch fields to data analytics I plan about one year to do it. If you have spare time you may be done quicker.",1
"SIR,  Is 'R' language you will be teaching  with it ?, thanks.",0
"Hi Luke, thank you for this valuable information. Can Managers take this certificate? I am currently leading a team of Data engineers and BI developers but I want to be able closely work together with my team. Would you recommend it for Managers ?",0
"I passed out in 2018 and i have 4years career gap but i know python,SQL medium level so if i enter into the course can i get the job sir?",0
The real test of this cert's worth is how many with this Google very and no college or other experience are Google hiring themselves? If they're not eagerly hiring up their own trainees then this is just a niche side hustle for them.,0
"Have you any college degree 
Or experience of 2 year data analyst to give that GCP exam",0
"finally finished college, so while i have a free time, might as well took this courses now that finally i'm not riddled with homeworks",0
So can you work for those 100+ employers if you are outside of US?,0
Age eligibility & education eligibility to enter into this field,0
Not free? too expensive,0
"Hi there Luke! you're doing an excellent work. One quick query, is this course a perfect segway for Data Scientists? since it focuses on Data Analysts? or shall we completely look into other courses for Data Scientists. I am a begineer with no prior knowledge in data field whatsoever.",0
"Hi 
does anyone know any sites that help you learn excel?",0
Can u suggest any internship on data science with low cost duration of 2months,0
"To be honest, all I have is a degree that doesn't apply to data science and just experience in the industry I'm in, but got a data analyst job by promotion.",0
"How to useful a mechanical engineer students ... Data analyst.....
How to enter to mechanical student",0
Awesome Luke! Appreciate the straightforward information and clarity of your videos.,2
"Hello Luke,
I am a veteran Lt Col from the Indian Army  with 24 yrs of service behind me. I have a Bachelors degree in Marhematics Physics and statistics a long time ago (29) yrs. Can I  start all over again? Will I ever find any employment now?( I am 50 yrs old now.)",1
"Hello,  I'm a commerce graduate. Is it possible to switch career in IT / Data science field.
Please guide.",0
This is what i wanted to learn i hope i can afford,0
Wow... I am in Kenya and I have been looking for new opportunities to go into... This is great..,0
"Hello ,I am from India can I do the course",0
Absolutely worthless and will not advance your career in any way.  In fact if I see this on your resume you are not getting an interview.,0
Hi sir how your Opinion about Alison ☺️...tq,0
I was able to complete in two weeks,0
"Great explanation. I want to take as a beginner this class through Coursera, do you it will help me to find a job right away?",0
"Hey, Luke kindly suggest free resources to become data analyst",0
what if someone doesnt have a bachelors degree?( asking for a friend of mine) XD,0
"Thank you for your indepth information. Was curious.. If we can get these course in python language, is it possible?",0
DevOps Engineer or Data Analyst? which one has more demand and high paid salaries?,0
"The only two complaints I have about this course is that first they teach r instead of python and two they don't teach excel. They teach google sheets.  They do provide either written explanation or links to articles with the information, they do not teach from excel. They teach from sheets.  They do try to note that there is a difference but they don't teach excel.",0
"Can I do this course..
I have done Masters in Economics..am I eligible or not pls. tell me..",1
Hey Luke! Can you share your inputs about Microsoft PL-300 exam/certificate?,0
is there a limit to the number of people enrolling or when the free course expires? currently im busy with my studies and cant afford to do this now but i can after 2023 june but im scared it wont stay so long?,0
Awesome,0
"NO, Please.",0
Is this course compatible for a beginner in this field..,0
Is this valid for people living in Nepal.,0
"Hi Luke, I am working as a customer support executive but wanted to learn some high-pay skills but I am not sure what should I learn. Could you suggest to me if I should opt for this course or if possible could you suggest to me the right path where I can earn and learn better.",1
I am currently thinking of doing this course. But I don’t have any degree would this course benefit me in any way?,0
I'm from the field of Microbiology and currently completing my degree and I also have my interest in comouter data analytics and programming so can this course help me get a job anywhere?,0
"Sir,I have done Data Base Programming by Visual Basic and SQL.would it be helpful or should I do Python also?",0
Nice video bro,0
"I don’t have degree, if i complete this course and get certified…. Can i get Data analyst job in IT company with this certificate and without degree ?",0
"Scary that I was talking with a friend of mine about looking to build a career in something related in this field and I get recommend this video. I'm at an impasse with my career as a tours organizer where I don't see the industry I'm in will improve any time soon. It has to do with a lot of factors, but COVID along with the war in Ukraine and an hyper inflation, things are not looking great. I've been looking at these certificate courses on and off as I see a lot of videos on how to land a job using just this certificate or even build your own thing but I never really took them to seriously until last week when I was on a trip relaxing. I've started to learn the basics of python and designing websites exploring my creativity and I'm hoping that there would be a similar certificate that could guide me in that?",0
R or Python which  is  more preferred  programming language in the case for the data analyst?,0
"Thanks for the review!  I still have a question that relates to the 2:01, when you say those who complete the certificate program, the students are placed in a pool of employers. Is that the same for any of the Google Certificates, or Just the Data Analyst?  Thanks!   :D",0
"10 hours per day, that’s really long😂.",0
I seriously doubt that this course would make you job ready. Its pretty basic. But the course structure is pretty good and lays a good foundation for you to begin with. Don't take more than a month to complete it. Else you would be wasting the time you could use to practice further.,0
These courses also available in other languages than English?,0
"Hi Luke, I have just freshly passed high school an was looking for courses that strenghthen my cv through college or maybe get a small job so am I elgible or is it very overshot and maybe this should be done after college.Also is this certificate valid lifelong or expires because I heard about some certificate courses that expire after a few months. 

Ps: this may look like a rookie question but i really dont know about the industry and job offers and where to gain experience so pardon me if the question seems kinda basic/straight forward.",0
Wow this is amazing!!!! I have to get this cert!!!!,0
It's a lie without cs degree not possible,0
50% of all emplyees need reskilling  by 2025,0
good,0
Love from India,0
"I think you are wrong! Degree what makes you earn more money and buy for certificate it will “NOT” let you earn more or even move up the ladder. Having, a degree will make you earn more and move up the ladder.",0
Online course,0
How to learn cyber security course,0
He’s not lying it’s either adapt or get left behind and he found a solution,0
"I am on 7th modul and so far the course gives you good overview of all the phases involved in data analytics but what it lacks is depth of the content. Looking forward to complete it soon and get into action soon. Thanks to coursera for providing financial aid, cheers 🥂",3
Does data analytics require coding?,0
Dear sir I'm from India i don't have computer I'm thinking about to brought a computer or desktop but which one is better to buy for data analytics and coding,0
I completed the course. Still didn't found any related job offer 😔,0
"I must confess that am overwhelmed of meeting someone one like you. It has been my dream learn data analysis. However, can I start with smartphone.",0
Is this course recognized in industry? Does it add value and makes one job ready,0
How easy it is to understand R without programming background,0
Why is Google changing things? That's scary!!,0
"I completed this course recently. Didn't help much, It's just an entry level concept understanding and little bit of  practice.",0
"Hey i am 19 years old and i am from India 
I had done basics of python coding html , c++ , a little bit of Java 
And i really really want to become a data scientist 
But currently i have no college 😣🥲
Because of covid situation and i am the older in my house 
Is this beneficial for me 
If i work harder in it 
Can i get a job because i want to become financially independent",0
Hiring Sundar Pichai for America will make America poor,0
"I used to think that since I don't have an experience in sql and only basic knowledge on Excel, that it won't be the right course for me",0
Would I need to already have a working knowledge of Excel and SQL for me to take this course?,0
"Last July I earned my Google Data Analysis Professional Certificate.

I finished the entire course in one month which would have taken 6 months.

It was very easy to understand.",0
Is there any course which is for free and useful for it Jobs,0
"I've heard a lot about this course..
 I just wanna know whether this course can be done and helpful for any educational background students ? Or is this course is just for any particular fields ?",0
❤️❤️,0
"I have a  Master's in Sociology from Bristol University, UK. Also I am a 30 year old fresher. If I pursue a career growth in Data Analytics with the help of Google. Would I be able to achieve the kind of career at par with other people with technical degrees? Would Google hire me if I am good at DA. I expect this question to be answered by Google 😅 Please?",0
"hi, im from commerce background and have no knowledge about tech or anything related to data analyst. is it advisable for me to take dis course",0
Consortium,0
How about the test ? When can a person apply for test and can they do multiple times?,0
Pano po ko gagawin yan pag uplay  sa inyo,1
Yeah.,0
I just recently learned about this as I was pretty much content with my current job dealing with data and reporting but mostly just using MS Apps and pretty much self-taught.  But I want to expand what I have.  Still never too late? Or should I just jump in or start somewhere else first?,0
"to be honest, degree really can't do much now, if you are new and holding a degree, it's very hard to find a job, everywhere need 1-2 years experience or 1-2 certifications",0
"Hey Luke, just now watched your video very good explanation and i have a doubt I'm a college grad and recently i got offered in software engineer role which is not started yet, in the mean time can i buy this course and gain knowledge? because i love data analyst role and prefer it  rather than the role that i'm offered with. Can you help me with this?",0
1:55 10 hours per ... week (not day) ;),0
Will I get a job if I take this courses and not pursue university degree?,0
"Hii Luke...!
Actually I've a question..
If someone has 10+2 and diploma in Engineering.. can they get a job in software field??",0
Really impressive to realized we live in a Easy to Use life (ETU) by 2023 because everyone can be everything without any limitation of source...,0
"It’s a great program. I just don’t get why some countries (even though not sanctionned) cannot get their ID verified and therefore see some students kicked out. I got kicked out because I am from Congo. Vert unfortunate. @Luke Barousse, would you recommend any similar training? I had just started my journey into data analytics. A bit frustrating",0
"Data scientist here. These certs won't open any doors. Trust me, the market is beyond saturated. Everyone and there mother has this cert now. 10 years ago it may have meant something but now the data field has moved onto advanced ML and AI, and for that you'll need a MSC minimum either in stats or comp sci. 

Save your time and try to get into web dev or SWE instead. For everyone 1 DS position open there's like 10 SWE positions open. 

Also, if you're handling data at your current job like accounting, general operations, etc. That's extremely basic. Even advanced Excel is nothing, you can learn that in a month. You need proper, disciplined training with LOTs of math if and years of study if you want that 200-300k DS position now. I can't stress this enough. Don't waste your time unless you're willing to work for garbage pay for the next 5 years while learning difficult programming and mathematics.",1
freelance robotics engineer information technology 😎,1
Do anybody know upon successful completion of the Google Certification do they get college credits that's relevant to the course?,1
"Wow. I can’t afford that, I’m broke.",0
"Should i do the course, get the certificate and include this certificate in my admission to unis for computer science so im more likely to get accepted?",1
Is data analyst skill important for digital marketing?,1
Do I need to be an employer of a small business to get access to google analytics for free?,1
"This is really amazing Sire.. since i have no idea on Data analytics, can I still be successful because I really want to go into Data analytics.",1
Is It worth a Google data analytics certificate for a mechanical engineer?,0
"After obtaining google professional certificate, can we call ourself as google certified data analyst?",0
It that needs some prerequisites? Im a high school students.,0
"Hey Luke, I am currently doing a Bachelor's Degree in Data Analytics.Would it be best for me to take this certificate now?",0
"Amazing video! Congratulations, Luke!",0
"So... Can you do this course for free, not caring about the certificate?",0
Why will a university graduate take a certification course after acquiring a degree?,0
"I am currently taking the Google Data Analytics course. In my experience the first few parts of the course are pretty good, but as you continue further the course is severely lacking. Some things are rushed through and make you think that you have missed a few chapters. I have come to the conclusion that finishing this course will get me the certificate, but it will be necessary to take separate courses on SQL, Tableau and R to get the knowledge and skills for a confident start on a job. I'd also like to think that this is not because of my personal experience or learning strength, but that this will apply to most students.
So is it worth it? Yes and No. The certificate is an added bonus, but the course is not ""all you need"" to get the necessary skills to start a data analytics career.",0
👍👍,0
"Is it possible to switch from Biomedical Engineering to data analyst?
Can someone become a data analyst in the medical field?",0
thank you,0
"Self learning for 3 months.  My Python, SQL and Excel skills are not enough but okay. What should I do next? R, Tableau, Bi? Also, I have started learning Calculus, Statistics and Linear Algebra again. Hope it'll help me. My suggestion box is wide open.",0
"Hi Luke, great content thank you! I have just started the course and was wondering whether the GAIG exam still applies, or if this course is a replacement for the exam? Or whether doing both may be beneficial.",0
Hey luke how can i message you personally.,0
great video..tnx lot 😍,0
"Hi Luke, thanks for the video. Does these courses recommended by you offer portfolio and case study as the learning outcome too?",0
Prices??,0
Its not  true. It will not increase your chance of job search. Recruiter don't even add any value for this Courses. If you are lucky having someone for recommend for you to get in to the organisation you will have job. Otherwise all these are useless. So far I have done nearly 50 certifications to get Data analyst job in different learning platforms but I got only frustrated.,0
Hey Luke - I am 10 years software developer with Workday Integration Backgorund. Is this course a FIT for me ?,0
11:11 🦋🌈✨👣,0
I have did google It support  proffsional Certifcate can you tell me it is good or not I got the certificates but it's difficult to get a job with that so far fo me now I don't know what to do?,0
Very nice unbiased review. Helped me make a better informed decision! 😊👍,0
Finance major no real type of experience in Finance is there really any type of similarities between the two? I just landed my first financial role as a credit analyst through luck lol but I’m not sure I like it and tech has always seemed interesting to me I started the free trial this week and was looking around it what would you recommend the PowerBi or this? Looking toward the future,0
"How about this i work a full-time job but i want to switch my career 180 degrees.. I'm completely new to this world I'm thinking about devops and earn a certificate from coursera in period of 11 months can this helps me get a job or at least in freelance.. area until i improve my self or it isn't worth it at all ?
Im not US resident 
Thank you",0
"I have a Bachelor’s degree in Marketing and took a couple of analytics courses where I got my Google Analytics & Excel Expert certifications and used SPSS, SAS and JMP; however, I don’t have any work experience with these tools. I would love to get an analyst position but I’m not sure what the best route is. As you mentioned I know companies are looking more for experience vs certifications, so do you think it would be worth it for me to do this? Thanks!",0
Currently taking this course (and then some others) to hopefully become a data analyst one day. I'm a social media marketing manager so it's a bit of a jump to this role but I want to do everything I can to make it,2
Thanks for this ine!!!,0
bro will get job in Google bro,0
"can you help me with the payment on coursera, Im planning to pay it with paypal but there is no any tutorial how to do it",0
I can finish it in 1 week.  I did the ibm one in 1 week.,0
Question: If I'm already enrolled in the Data Science Path on DataQuest should I drop that and enroll in this? Or should I continue working on that first? I just want to have enough skills to learn a new job no matter which route I choose.,0
Can I do this course just on my phone? Do I need to buy a laptop or desktop?,0
"I'm currently taking Microsoft's Data Analyst course. It's being renamed as PowerBI. But its free with the exception of the actual test/certificate at the end. With a background in finance and having some PowerBI experience from the course, I was able to get a Financial Analyst job without taking the certification exam",1
10 hour per week,0
"i don’t really have knowledge in programming at all, i’m an accounting graduate for a long time now and only had experienced as of basic bookkeeping and income & expense analysis. will i still be qualified to take up this certification?",1
I  am currently taking an IBM data analyst professional certificate on Coursera. I hope it is as good as google.,0
"Hi Luke, thanks for your content. It's really informative! I really like it! I work in marketing and I am thinking about upskilling myself in data analysis to help with my job in marketing. In particular, most of my job focuses on digital ads. Hence, I think it would be useful to upskill myself in data analysis. 
Having said that, digital marketing has other areas to specialise in such as PPC, SEO, email, etc. I don't think data analysis is the key driver in my work. 
Just wondering from your perspective, would you think that I should take this course or would you advise me to learn specific tools directly like SQL, Tableau, etc. to help with decision making and reporting in marketing?",0
"Hey, Luke. A quick question, would you be able to provide the info source for - "" some of these companies have certain quota to hire certificate graduates "" . Would like to learn which specific companies these quotas",0
"This video has changed my career , I remember one year ago when my friend told me to watch this video and pursue this certification, I glad that I did and after putting out a lot of hard work , I’m officially working as data analyst , thank you man for this life changing video .",338
"Can you please tell me the difference between a data analyst, a coder, and a software developer.....",1
"There are many videos talking about the need for a Master's degree versus professional certificates, but how about making one about Post Graduate courses that are usually shorter and more practical in nature? I`ve seen mixed reviews for example of the Simplilearn courses offered together with Purdue University. In some countries, a PG course specialization is considered at the same level as a Master's degree, but in other countries that option doesn't even exist and it's even difficult to translate the term and try to explain to the employer what a PG course is. How are those viewed in the market in several countries in general? (I live in Japan, and it's one of those countries that I'd need to explain what it is like)

[",0
"wow.. blue eye...
Blue eye hipnotize teri karti hai mainu... YoYo honey sing #blueyes #song",0
Is this course helpful for freshers?,0
"I have completed my 12 class , can i apply for this??",0
"I have a question, once i finish the course i have to pay a plus for the certification ?",0
"693,432 already enrolled lol?",0
"I got in to computers in 1984, by the 90's MS was pushing their MCSE certs. I took interest in it, then learned the certs need to be taken every year and they are not cheap. I am now systems admin and programmer and still refuse to pay for ANY certification.",0
"If, they recommend 10 hours per day to finish in 6 months, then how are you finishing in 2 months?",0
Very nice video!,0
do we need math knowledge to be a data analyst?,0
"Day-tuh…
What is dah-tuh?
😎",0
Hi everyone. LOVED the video. very informative. Its been 10 years since i have graduated and i have no work experience. i want to learn current skills and get myself a job. will this certificate be any good for me?? or what else should i do with this certificate... if you please guide me a little. thank you,0
Professionelle Datenbasierte-Analzyste in der Hoecke bei Google?,0
Bro can I completed any one course in week,0
Is Data Analyst supposed to be good in statistics and probability theory  ?,0
10 hrs per day 😅 Great vid!,0
"Hi Luke, thank you so much for the such a informative video 😊. Is it possible for  people in India  get access of these companies? Do they provide job assistance in India?",0
Data science and Data Analysts are too much hyped. The number of students is hugely greater than the number of available positions.,0
"Hi Luke, I am taking course 2, it is so interesting for me. Can you pls advise what other courses I can take after finishing 8 courses of google data analytics certificate?",0
I already wasted my 15 000usd on university degree. 😔😔😔🤒🤒,1
Thanks!,0
Thank for this video sir. It teally gives me hope that I can still find an IT related job without so much knowledge in IT. Love lots😊,0
I finished the modual in the first 8 hour day and weeks 6 & 7 of module 2 in aonther 90 minutes. Not so sure I'm learning everything I'll need to get hired.,0
"A very good n balanced 'intro' to the topic n almost spot-on, I would say.
Thank you so much Luke. Great Job.",0
"If you can't afford 39$/month payment and you are a student in a university, check if your university provides a free coursera enrollments for you. I had that and taking this course for free with my university e-mail.",1
In India first important your degree after your experience,0
"Thanks for sharing ur suggestions..would like to know, if we start learning in audit mode, once done with the lessons, Do we need to start to take course from beginning to get the certificate?",0
"I only have a high school diploma, been working in construction for the passed 5 years. So no experience at all, been in and out of university but didnt graduate. Would I be able to get a entry level job  after this course even if i have no IT background? No one seems to ask this question.",0
"Hello, is there anyone here who has no degree at all and were able to get a role through self-teaching and certs? I'd love to talk!",1
How do I get to access the 7 days Free trial without having to input my card details..,0
"I skill myself but didnt get job because they are asking question,but my theorical knowledge is very poor",0
"Thanks again, for your critical analyse !",0
"kindly suggest a certification that is high in demand lang vacancies all over the world and doesn't need per qualification minimum salary range estimate. also, a certification that has self-employment example web linked products",0
"Is there any body know are there any free courses for data analyst.Because I really need money.I like to do another job.but $39 is big amount for me.In our currency 7,839.39.It take 2,3 months to me save that much amount.",0
I'm actually trying to land a marketing manager job. I got my bachelors degree about 2 years ago in Marketing Management. I have a project+ certification in project management. I've worked almost my entire career in customer service. I'm having alot of trouble landing a job right now because I keep hearing I lack the experience. I'm very computer savvy and know excel spreadsheets up and down. Would something like this help get that next step. Because I found my project+ certification is basically useless to employers.,0
I did this certification and it has made no difference in finding a data analyst position and I have a BS in Personal Finance.,0
"My relative who is in midst of his last Semester in B-Tech,EEE is doing a internship in ""Urjanet""as Data Analyst-Intern for 20k Indian rupees per month,as of now....Kid is sad,saying it's a low paying Placment for a Graduate,but maybe I hope he grows further in this field...",0
GOOGLE IS AN EXAMPLE,0
1:57 10 hours per week not day,0
"I wish we of yesteryears can adopt the growing tech in all professions.So machine lsnguage and tools should be imparted to CAs ,CSs of the 1980s",0
Which job  I get after completing this course?,0
What if I already have Database Design and Data Analytics certificates from my university...? Is it still worth it?,1
I love this!!!,0
I'm a diploma holder in electronics and communication can this cert be useful for me??,0
"If anyone is not able to pay after 1 month, then what?
Can he start later, for the remaining course...",0
Is this usefull for an economics bachlor ?,0
No one have gotten a job after completing any of these google courses. I found that strange. I just finished and I am going to be applying for jobs soon.,1
Thank you for the video. When you said 10 Hours per day in 1:55 I was shocked :D. Thank god its 10 Hours/week. Kind regards.,0
